gpu_temperature,gpu_power_load,ambient_temperature,humidity,water_temperature,tds,ph,conductivity,tower_age,cooling_cycles,flow_rate,daily_water_usage,scaling_risk
66.85,87.93,26.81,58.0,28.12,311.86,8.71,444.53,4.45,13.95,111.47,4589.72,1
92.78,83.52,29.2,78.3,36.17,255.12,6.53,324.38,6.31,10.32,81.54,8245.78,1
82.94,70.15,40.64,28.76,40.74,333.92,6.51,419.94,7.43,5.24,65.07,8272.35,1
76.94,96.92,25.2,29.08,30.71,424.57,8.55,548.42,8.38,5.56,85.99,2458.07,1
57.02,44.03,41.09,58.98,35.86,805.01,8.56,1052.33,4.49,3.55,92.47,3032.64,1
57.02,37.65,17.64,86.25,25.29,1218.96,8.63,1551.24,8.08,14.36,107.82,4560.35,1
52.61,89.78,38.3,49.05,31.73,482.77,9.01,609.81,7.88,18.97,144.87,7354.68,1
88.98,60.74,40.43,42.89,40.84,1322.19,6.82,1852.56,5.08,2.42,83.71,6088.89,1
77.05,89.29,20.45,62.47,32.97,1345.89,7.13,1726.58,12.54,3.32,48.16,5353.87,1
81.86,92.52,27.91,85.13,36.8,1350.69,8.94,1935.24,8.41,11.15,99.72,5939.49,1
50.93,34.37,19.96,78.58,25.39,1205.08,6.98,1595.04,5.32,16.75,176.9,2221.5,1
93.65,91.84,36.2,89.68,42.0,636.59,8.34,881.12,14.24,5.15,119.74,5082.48,1
87.46,61.38,31.06,21.58,37.31,287.22,7.93,371.97,12.75,7.43,194.37,8940.47,1
59.56,65.73,34.06,27.9,32.89,882.58,6.72,1145.65,14.75,6.64,120.58,2163.35,1
58.18,73.86,20.89,62.66,26.18,870.42,7.27,1188.07,10.54,9.98,84.14,5394.35,1
58.25,94.85,21.35,77.44,27.04,1219.97,7.91,1661.76,5.98,6.5,70.93,3717.37,1
63.69,31.34,16.24,39.97,26.06,1395.19,8.8,1958.49,4.57,9.05,151.12,5549.35,1
73.61,63.38,24.66,36.74,31.12,809.79,8.41,1134.97,10.12,16.57,125.82,5803.64,1
69.44,78.14,31.79,75.09,32.11,614.24,8.18,850.2,14.72,14.22,136.64,5831.05,1
63.11,80.59,40.74,23.95,35.97,423.08,7.84,566.86,9.59,3.62,160.82,7891.57,1
77.53,78.48,35.01,45.86,39.26,205.76,7.31,293.85,13.28,14.75,156.14,4423.11,1
56.28,39.41,28.06,55.41,31.23,810.94,6.82,1114.64,5.27,11.54,46.94,5372.66,1
63.15,50.96,43.59,59.22,33.53,866.62,7.6,1254.9,6.4,20.69,168.41,1581.96,1
66.49,55.11,36.58,71.0,37.0,1189.93,6.58,1682.41,13.64,7.79,125.23,7421.63,1
70.52,86.31,42.9,44.84,37.01,805.49,7.07,1014.0,11.47,16.52,102.67,3446.16,1
85.33,49.51,30.83,62.89,38.32,1299.76,7.67,1708.04,14.73,16.62,126.0,7624.16,1
58.99,44.75,22.77,60.98,25.9,953.7,7.63,1301.2,11.73,6.43,137.99,3492.29,1
73.14,97.02,16.58,58.33,29.37,1208.4,6.62,1684.87,7.0,20.06,63.92,1580.91,1
76.66,30.62,36.78,64.83,37.67,377.96,8.09,514.05,8.2,11.82,106.79,2661.23,1
52.09,99.85,18.64,38.16,21.58,1226.4,7.98,1725.83,13.56,15.58,93.69,8892.62,1
77.34,77.38,24.08,25.93,33.98,1010.17,6.71,1319.82,8.5,4.92,96.07,3898.51,1
57.67,87.99,30.97,28.35,32.95,404.28,9.05,520.22,4.2,7.16,54.61,2316.18,1
52.93,50.62,31.93,35.72,29.06,427.72,6.77,539.26,6.82,13.72,65.57,2390.69,1
92.7,31.0,33.02,55.01,42.0,1311.8,8.81,1790.17,7.99,8.38,65.89,3827.57,1
93.45,81.65,19.99,78.83,34.98,238.66,6.5,331.19,1.9,11.99,99.72,1782.34,1
86.38,88.39,26.39,69.09,37.53,755.04,8.88,993.05,11.28,9.48,183.12,5336.16,1
63.71,81.83,33.52,75.23,28.22,576.17,6.55,790.92,2.09,14.81,72.96,3103.06,1
54.4,40.0,44.09,44.57,38.87,998.09,8.55,1258.03,6.37,11.74,106.59,5394.83,1
80.79,82.74,36.83,48.33,41.08,1207.56,7.48,1533.42,12.17,2.09,89.86,2555.73,1
69.81,83.82,42.68,47.56,36.82,632.45,8.49,879.33,7.28,14.99,165.98,4723.93,1
55.49,76.1,37.87,33.43,28.18,712.28,7.58,942.79,12.71,10.44,48.02,5984.38,1
72.28,83.63,32.75,24.29,35.11,1378.3,6.69,1907.94,5.46,8.83,71.45,1965.0,1
51.55,89.21,20.76,61.36,22.27,1140.7,8.57,1615.62,14.39,3.88,73.7,4490.62,1
90.92,72.95,35.0,89.25,40.87,1276.64,6.69,1813.51,3.54,6.41,198.87,3768.93,1
61.65,36.2,33.7,31.68,33.03,726.51,8.99,933.16,1.05,6.48,131.32,3302.7,1
79.81,64.13,33.07,23.27,34.65,480.89,6.64,647.88,13.15,20.71,62.23,6034.01,1
64.03,35.44,29.69,74.57,33.64,694.24,7.79,969.7,11.41,10.65,83.55,5914.06,1
73.4,58.53,30.86,37.68,35.76,1059.31,8.45,1488.12,3.86,2.84,66.85,6230.25,1
74.6,58.5,25.03,78.08,34.36,331.32,7.56,466.14,14.78,4.78,59.94,2691.62,1
58.32,34.62,30.58,69.28,30.3,524.56,7.09,679.64,7.78,3.58,167.55,3642.82,1
93.63,54.42,20.93,86.2,32.9,255.96,8.55,329.81,14.29,13.78,119.32,3072.59,1
84.88,37.77,39.16,48.62,41.88,718.82,8.62,983.34,7.82,5.73,140.99,5553.78,1
92.28,86.58,20.57,66.34,34.73,1192.93,8.99,1667.98,7.34,11.97,93.0,4957.99,1
90.27,96.34,17.55,52.54,30.93,229.6,7.52,301.65,7.01,9.4,128.59,3977.2,1
76.91,35.06,28.09,64.14,36.76,1010.39,7.87,1284.14,5.36,18.08,81.21,7395.11,1
91.48,96.86,34.75,51.47,42.0,1319.0,7.48,1837.82,8.24,8.41,89.29,2204.8,1
53.98,66.58,28.13,33.2,28.26,484.31,7.19,634.42,7.06,11.17,144.36,8811.73,1
58.82,50.97,23.3,55.55,32.18,1032.36,8.53,1324.8,1.03,16.43,64.06,2374.08,1
52.04,35.38,31.75,57.0,29.3,1370.12,7.42,1753.13,4.28,10.67,138.76,7298.03,1
64.64,65.04,25.41,76.74,29.29,1354.73,7.66,1778.74,3.59,17.86,176.36,4261.73,1
67.49,85.62,42.99,71.49,35.66,481.92,7.59,659.52,13.08,15.23,59.27,7989.47,1
62.21,79.5,42.68,66.47,38.76,320.4,8.42,423.46,9.18,10.21,183.59,2056.27,1
87.29,33.52,30.07,27.94,35.79,377.94,8.98,473.99,11.57,12.08,52.71,4310.41,1
66.05,35.1,24.84,70.44,31.68,1042.44,8.3,1323.26,14.37,21.34,95.83,4015.83,1
62.64,58.2,37.11,55.02,32.53,1070.91,7.77,1400.86,9.84,15.23,137.68,8948.68,1
74.42,50.67,16.1,82.59,28.32,1009.08,8.6,1394.49,14.75,20.1,129.51,8891.62,1
56.34,46.27,29.24,84.39,31.38,603.29,8.23,766.0,5.02,5.58,55.42,2923.53,1
86.1,49.67,25.09,23.86,34.55,403.73,6.66,549.94,3.2,11.66,167.83,6224.6,1
53.35,86.24,42.62,77.44,32.44,896.91,6.76,1142.65,6.35,20.17,195.7,5516.4,1
94.41,95.05,15.36,22.64,36.24,780.42,6.6,1008.55,7.33,8.45,69.0,2657.8,1
84.75,58.36,31.58,45.7,40.44,1074.6,7.73,1380.26,13.48,21.35,183.22,2758.35,1
58.94,93.43,37.22,57.96,34.05,729.63,8.73,921.85,8.62,3.94,129.09,8919.39,1
50.25,52.5,29.55,30.37,26.6,606.37,7.35,839.37,4.74,20.05,189.75,4895.47,1
86.7,63.35,17.56,72.24,31.8,552.17,7.54,741.39,11.27,10.9,68.17,2443.51,1
81.81,45.82,44.17,20.58,41.07,453.76,8.96,642.63,7.83,3.47,166.72,3110.93,1
82.81,74.83,30.54,31.8,37.03,518.9,8.76,658.88,2.85,19.59,49.57,3512.61,1
84.71,98.53,33.43,60.66,35.9,313.8,8.3,401.33,8.86,7.04,181.31,5331.88,1
53.33,72.24,22.1,70.01,27.51,616.23,7.22,808.06,13.72,2.45,147.87,4016.61,1
66.13,55.05,29.5,84.17,32.03,243.88,6.82,342.21,12.72,4.72,99.24,4912.59,1
55.21,75.35,27.87,69.38,25.13,423.7,6.54,555.53,9.01,15.18,70.47,2748.75,1
88.84,38.6,17.25,67.02,31.39,1096.12,6.79,1459.69,5.97,21.56,170.65,3950.47,1
78.05,92.21,18.18,47.6,29.87,590.56,7.29,773.83,1.76,4.23,136.52,2027.37,1
64.89,65.22,40.12,20.09,35.12,1001.88,7.99,1268.43,7.31,11.24,97.67,8172.83,1
52.86,61.45,22.19,28.41,29.76,1060.26,6.67,1524.54,11.41,5.61,111.01,2990.64,1
63.99,71.01,20.85,57.42,28.77,897.42,6.87,1220.23,5.72,16.9,172.25,7176.75,1
64.63,73.73,30.15,67.26,30.03,1350.44,6.99,1900.83,3.91,4.36,94.23,4121.64,1
82.83,35.02,38.06,49.22,39.47,225.73,8.21,311.88,14.01,6.8,54.34,5057.98,1
78.69,77.78,16.86,71.15,29.87,1086.38,8.16,1469.71,12.41,5.93,185.81,3684.46,1
89.92,46.94,32.3,56.53,39.44,1350.54,7.99,1712.4,9.75,13.05,101.97,6723.31,1
71.25,79.98,18.58,25.19,30.48,1234.73,7.18,1702.13,2.48,19.46,95.74,7834.1,1
55.38,87.58,16.09,33.44,26.9,401.47,7.5,514.31,2.6,12.22,72.7,3647.03,1
82.1,86.28,16.58,78.8,31.28,592.18,6.76,789.31,2.0,3.16,183.59,3316.63,1
